timestamp	meter_value	pv_value	sum
2021-03-29T00:00:00	0.013	0.000	0.013
2021-03-29T00:00:05	0.011	0.000	0.011
2021-03-29T00:00:10	0.008	0.000	0.008
2021-03-29T00:00:15	0.011	0.000	0.011
2021-03-29T00:00:20	0.010	0.000	0.010
2021-03-29T00:00:25	0.011	0.000	0.011
2021-03-29T00:00:30	0.008	0.000	0.008
2021-03-29T00:00:35	0.008	0.000	0.008
2021-03-29T00:00:40	0.008	0.000	0.008
2021-03-29T00:00:45	0.007	0.000	0.007
2021-03-29T00:00:50	0.009	0.000	0.009
2021-03-29T00:00:55	0.011	0.000	0.011
2021-03-29T00:01:00	0.012	0.000	0.012
2021-03-29T00:01:05	0.009	0.000	0.009
2021-03-29T00:01:10	0.010	0.000	0.010
2021-03-29T00:01:15	0.009	0.000	0.009
2021-03-29T00:01:20	0.006	0.000	0.006
2021-03-29T00:01:25	0.006	0.000	0.006
2021-03-29T00:01:30	0.007	0.000	0.007
2021-03-29T00:01:35	0.008	0.000	0.008
2021-03-29T00:01:40	0.009	0.000	0.009
2021-03-29T00:01:45	0.009	0.000	0.009
2021-03-29T00:01:50	0.006	0.000	0.006
2021-03-29T00:01:55	0.009	0.000	0.009
2021-03-29T00:02:00	0.008	0.000	0.008
2021-03-29T00:02:05	0.005	0.000	0.005
2021-03-29T00:02:10	0.007	0.000	0.007
2021-03-29T00:02:15	0.009	0.000	0.009
2021-03-29T00:02:20	0.010	0.000	0.010
2021-03-29T00:02:25	0.012	0.000	0.012
2021-03-29T00:02:30	0.010	0.000	0.010
2021-03-29T00:02:35	0.008	0.000	0.008
2021-03-29T00:02:40	0.011	0.000	0.011
2021-03-29T00:02:45	0.012	0.000	0.012
2021-03-29T00:02:50	0.011	0.000	0.011
2021-03-29T00:02:55	0.011	0.000	0.011
2021-03-29T00:03:00	0.012	0.000	0.012
2021-03-29T00:03:05	0.010	0.000	0.010
2021-03-29T00:03:10	0.009	0.000	0.009
2021-03-29T00:03:15	0.011	0.000	0.011
2021-03-29T00:03:20	0.011	0.000	0.011
